price_usd,living_space_ft2,lot_size_ft2,home_age,distance_city_mi,crime_rate_index,condition,waterfront,home_type,heating_type,region
445394.1,1998.7,6378.3,96,6.05,4.4507,fair,No,single_family,gas,north
495401.94,1744.7,11018.4,0,11.28,2.2062,good,No,condo,gas,east
598455,2059.1,8227.4,14,1.45,2.4816,good,No,single_family,gas,east
522416.17,2409.2,8837.2,76,8.48,3.4535,good,No,single_family,gas,south
454984.62,1706.3,8657.2,16,9.28,1.3481,good,No,condo,electric,north
511154.42,1706.3,9933.7,23,8.52,1.2593,good,No,townhouse,electric,south
515631.66,2431.7,7452.6,57,6.66,3.4571,good,No,townhouse,electric,west
480211.11,2107,3757.9,71,3.95,2.4661,good,No,single_family,gas,east
401021.35,1612.2,7999.2,113,4.84,1.9182,excellent,No,single_family,gas,east
505116.75,2017,5371.6,90,8.41,3.724,fair,Yes,condo,electric,west
362832.55,1614.6,5678.5,108,3.55,2.0257,excellent,No,single_family,gas,north
510672.99,1613.7,8465.9,22,15.08,2.6706,fair,No,condo,gas,east
467815.26,1896.8,10095.7,45,0.5,1.9246,poor,No,single_family,gas,east
407049.18,1034.7,7053.2,71,6.71,3.3641,excellent,No,townhouse,gas,north
439965.35,1110,7772.1,7,8.44,4.5985,fair,No,townhouse,gas,south
352453.05,1575.1,11255.5,58,10.03,0.7668,good,No,condo,gas,west
303115.05,1394.9,7601.9,89,4.34,3.1352,excellent,No,condo,electric,north
453606.72,1925.7,13504.2,110,12.54,4.0279,excellent,No,single_family,electric,west
407721.55,1436.8,8413.8,58,2.42,2.4942,excellent,No,single_family,electric,west
365215.15,1235.1,2598.1,12,5.74,1.6427,fair,No,condo,gas,east
654658.65,2386.3,8883.4,38,10.48,3.5052,good,No,condo,gas,north
326433.33,1709.7,7952.9,100,12.16,4.202,fair,No,condo,gas,west
415569.21,1827,10224.4,112,2.38,4.0686,good,No,single_family,electric,south
308698.13,1230.1,8683,27,18.58,3.4391,excellent,Yes,single_family,gas,west
277486.64,1582.2,6653.9,88,4.41,3.1175,good,No,condo,gas,east
490877.17,1844.4,3939.3,60,2.75,1.9212,good,No,single_family,gas,south
353740.64,1339.6,6477.4,15,10.01,4.0383,good,No,condo,gas,south
479749.85,1950.3,4873.7,118,6.61,3.9719,good,Yes,single_family,gas,north
519314.22,1559.7,5548.7,1,6.02,1.6343,excellent,No,single_family,electric,south
392688.55,1683.3,8471.4,117,10.38,3.4374,poor,No,single_family,electric,north
446575.82,1559.3,11174.8,81,1.89,3.7834,good,No,single_family,electric,north
654247.14,2540.9,7986.7,16,1.19,4.0585,excellent,No,single_family,gas,south
454635.92,1794.6,4010.3,29,5.61,2.91,good,No,single_family,electric,north
304827.13,1376.9,8111.5,102,12.31,1.9709,poor,No,single_family,gas,north
634421.37,2129,9991.6,12,5.78,2.3975,good,No,townhouse,gas,south
355165.83,1311.7,5475.5,95,14.4,1.7913,good,No,townhouse,electric,east
419378.02,1883.5,6665,113,12.8,2.9387,fair,No,townhouse,gas,west
324538.37,1016.1,7036.7,92,9.13,2.7037,excellent,No,single_family,electric,north
309996.99,1268.7,5037.8,109,9.36,5.574,good,No,condo,electric,north
447686.43,1878.7,8620.7,93,9.13,4.0736,excellent,No,townhouse,gas,south
511255.01,2095.4,6697.6,81,8.64,4.1635,excellent,No,townhouse,electric,west
407494.62,1868.5,8048.8,12,6.54,3.5656,good,No,townhouse,gas,west
515206.21,1753.7,4781.3,42,7,2.5592,poor,No,single_family,gas,north
481457.97,1679.6,5906.4,84,3.72,2.6695,good,No,single_family,oil,south
332309.04,1208.6,8806,93,0.5,2.7794,fair,No,single_family,gas,east
480830.8,1512.1,6067.9,20,12.42,3.2259,excellent,No,single_family,electric,west
280996.12,1615.7,11317.4,111,8.63,3.467,fair,No,single_family,gas,east
547816.16,2222.8,6000.9,54,8.02,3.0009,fair,Yes,townhouse,electric,south
459895.78,1937.4,7561.7,80,9.59,2.6513,good,No,condo,electric,east
368003.35,1094.8,9331.5,39,4.69,2.2871,fair,No,single_family,electric,south
479596.02,1929.6,3454.1,82,4,1.3288,fair,No,townhouse,electric,north
415364.15,1646,2598,115,6.87,4.5401,good,No,condo,gas,east
320316.26,1529.2,3185.9,14,13.47,5.6466,poor,No,single_family,electric,north
559836.83,2044.7,10156.5,72,3.33,4.4392,poor,No,condo,gas,north
550497.42,2212.4,5620.4,51,0.5,1.4891,good,Yes,townhouse,gas,south
575149.87,2172.5,13395.5,73,5.91,3.9444,good,Yes,condo,gas,east
363712.05,1464.3,5589.4,107,12.57,4.2285,good,No,condo,oil,west
425525.42,1676.3,7461.4,94,1.07,2.5159,good,No,condo,electric,east
507253.46,1932.5,10855.3,52,3.28,3.5867,good,No,condo,gas,west
504424.41,2190.2,12015.2,86,9.05,2.4524,good,No,single_family,gas,north
461116.81,1608.3,12153.8,51,18.28,4.8347,excellent,Yes,single_family,electric,north
445286.83,1725.7,10020.9,29,2.57,3.4384,poor,No,townhouse,gas,south
421524.15,1357.5,9560.2,32,2.41,1.8994,good,No,single_family,gas,west
293894.99,1321.5,8481.3,56,9.35,3.8038,excellent,No,townhouse,electric,east
500150.64,2125,8945.9,51,12.82,4.2705,excellent,No,townhouse,electric,south
567130.28,2342.5,5622,8,5.5,3.2378,fair,Yes,condo,electric,south
464013.14,1771.2,4954.5,53,1.51,3.5753,fair,No,single_family,gas,south
547013.65,2201.4,6991.6,110,9.73,2.9163,good,No,townhouse,gas,east
478810.78,1944.7,6574.5,0,10.46,1.6389,poor,No,single_family,gas,south
382183.55,1542,5866.9,43,15.11,2.8179,excellent,No,single_family,gas,east
415518.07,1944.6,8741,98,10.63,3.6276,good,No,single_family,gas,south
516506.29,2415.2,9388.3,74,11.31,2.8464,good,No,single_family,gas,west
565155.63,1785.7,7221,97,6.95,3.9609,fair,No,single_family,gas,north
415926.52,2425.9,10693.8,79,17.77,2.5294,good,No,townhouse,gas,west
365236.64,752.1,4145.8,8,6.41,2.6081,good,No,townhouse,gas,west
